Type:,Filename:,Part:,Our Vals:,Notes:
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29B,100,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29B,220,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29B,40,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29B,60,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29B,80,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29C,100,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29C,220,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29C,40,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29C,60,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29C,80,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30,100,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30,220,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30,40,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30,60,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30,80,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30A,100,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30A,220,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30A,40,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30A,60,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30A,80,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30B,100,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30B,220,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30B,40,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30B,60,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30B,80,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30C,100,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30C,220,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30C,40,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30C,60,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30C,80,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROSEMICORPORATION_2N2484UB,2N2484,60,Digikey parts: {'2N2484UB': ['60']}
FP,MICROSEMICORPORATION_2N2484UB,2N2484UBC,60,Digikey parts: {'2N2484UB': ['60']}
FP,MICROSEMIIREDIVISION_JAN2N918UB,2N918,15,Digikey parts: {'2N918UB': ['15']}
FP,NXPUSAINC_PN2222A116,PN2222A-AP,40,Digikey parts: {'PN2222A': ['40']}
FP,NXPUSAINC_PN2222A116,PN2907A,40,Digikey parts: {'PN2222A': ['40']}
FP,ONSEMICONDUCTOR_BUL45D2,BUL45D2,100,Digikey parts: {'BUL45D2G': ['400']}
FP,ONSEMICONDUCTOR_BUL45D2,BUL45D2,400,Digikey parts: {'BUL45D2G': ['400']}
FP,ONSEMICONDUCTOR_BUL45D2,BUL45D2G,100,Digikey vals: ['400']
FP,ONSEMICONDUCTOR_BUL45D2,MJE210,100,Digikey parts: {'BUL45D2G': ['400']}
FP,ONSEMICONDUCTOR_BUL45D2,MJE210,400,Digikey parts: {'BUL45D2G': ['400']}
FP,ONSEMICONDUCTOR_MJE18004D2G,MJE18004D2,100,Digikey parts: {'MJE18004D2G': ['450']}
FP,ONSEMICONDUCTOR_MJE18004D2G,MJE18004D2,450,Digikey parts: {'MJE18004D2G': ['450']}
FP,ONSEMICONDUCTOR_MJE18004D2G,MJE18004D2G,100,Digikey vals: ['450']
FP,ONSEMICONDUCTOR_MJE18004D2G,MJE210,100,Digikey parts: {'MJE18004D2G': ['450']}
FP,ONSEMICONDUCTOR_MJE18004D2G,MJE210,450,Digikey parts: {'MJE18004D2G': ['450']}
FP,ONSEMICONDUCTOR_MJW3281A,MJW3281D,230,Digikey parts: {'MJW1302AG': ['230']}
FP,ONSEMICONDUCTOR_MMBT6521LT1,AN569,25,Digikey parts: {'SMMBT6521LT1G': ['25']}
FP,ONSEMICONDUCTOR_MMBT6521LT1,MMBT6521LT1,25,Digikey parts: {'SMMBT6521LT1G': ['25']}
