Type:,Filename:,Our Vals:,Notes:,Discrepancy Type:,Discrepancy Notes:,Annotator:
FN,ANALOGDEVICES_AD8032ARZ-REEL,900 uA,Entity vals: [Quantity('3.2 mA')],Missing value.,,Bot
FP,ANALOGDEVICES_AD8032ARZ-REEL,3.2 mA,"Gold vals: [Quantity('800 uA'), Quantity('750 uA'), Quantity('900 uA')]",Invalid value.,,Bot
FN,ANALOGDEVICES_AD548JRZ-REEL7,170 uA,Entities do not have doc ANALOGDEVICES_AD548JRZ-REEL7.,Missing doc.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_OP270GN8PBF,4.4 mA,Entity vals: [Quantity('4 mA')],Missing value.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_LTC6268HS6TRMPBF,16 mA,Entity vals: [Quantity('16.5 mA')],Missing value.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_LTC6268HS6TRMPBF,390 uA,Entity vals: [Quantity('16.5 mA')],Missing value.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_LTC6268HS6TRMPBF,230 uA,Entity vals: [Quantity('16.5 mA')],Missing value.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_LTC2064IMS8PBF,1.4 uA,Entity vals: [Quantity('2 uA')],Missing value.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_LTC2064IMS8PBF,1.3 uA,Entity vals: [Quantity('2 uA')],Missing value.,,Bot
FP,ANALOGDEVICESLINEARTECHNOLOGY_LTC2064IMS8PBF,2 uA,"Gold vals: [Quantity('1.4 uA'), Quantity('1.3 uA')]",Invalid value.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_LTC2058IS8EPBF,1 mA,Entity vals: [Quantity('1.4 mA')],Missing value.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_LTC2058IS8EPBF,3 uA,Entity vals: [Quantity('1.4 mA')],Missing value.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_LTC2058IS8EPBF,950 uA,Entity vals: [Quantity('1.4 mA')],Missing value.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_LTC2058IS8EPBF,5 uA,Entity vals: [Quantity('1.4 mA')],Missing value.,,Bot
FP,ANALOGDEVICESLINEARTECHNOLOGY_LTC2058IS8EPBF,1.4 mA,"Gold vals: [Quantity('1 mA'), Quantity('3 uA'), Quantity('950 uA'), Quantity('5 uA')]",Invalid value.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_LT1970AIFEPBF,3 mA,Entity vals: [Quantity('7 mA')],Missing value.,,Bot
FP,ANALOGDEVICESLINEARTECHNOLOGY_LT1970AIFEPBF,7 mA,Gold vals: [Quantity('3 mA')],Invalid value.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_LT1782IS5TRPBF,45 uA,Entity vals: [Quantity('40 uA')],Missing value.,,Bot
